"chr","start","end","length","count","peak"
"chr1",769168,769542,374,21,769410
"chr1",782578,782875,297,9.1,782766
"chr1",843558,843891,333,12,843705
"chr1",847329,848555,1226,26,848408
"chr1",850668,850879,211,14,850848
"chr1",873357,873637,280,9.1,873412
"chr1",958967,959628,661,26,959375
"chr1",961508,961730,222,8.1,961612
"chr1",964390,964710,320,16,964577
"chr1",964763,964981,218,25,964883
"chr1",967661,968234,573,18,967925
"chr1",971407,971729,322,10,971665
"chr1",974110,974810,700,18,974489
"chr1",975132,975898,766,22,975276
"chr1",978879,979144,265,10,978939
"chr1",993756,994080,324,11,993965
"chr1",1011306,1011653,347,19,1011380
"chr1",1011698,1011968,270,11,1011902
"chr1",1012844,1013046,202,16,1012961
"chr1",1013968,1014743,775,24,1014227
"chr1",1169888,1170228,340,22,1170025
"chr1",1170315,1171222,907,18,1170856
"chr1",1171305,1172357,1052,21,1171481
"chr1",1219847,1220085,238,11,1219921
"chr1",1221107,1221761,654,14,1221279
"chr1",1245147,1245426,279,7,1245338
"chr1",1246437,1246748,311,12,1246633
"chr1",1250856,1251060,204,11,1250922
"chr1",1255024,1255934,910,22,1255226
"chr1",1264262,1264666,404,14,1264499
"chr1",1286779,1287313,534,24,1286834
"chr1",1290689,1291329,640,14,1290899
"chr1",1291581,1291973,392,21,1291690
"chr1",1294907,1295130,223,10,1294995
"chr1",1295389,1295648,259,8.1,1295447
"chr1",1337399,1337848,449,33,1337704
"chr1",1344681,1344949,268,9.1,1344824
"chr1",1346443,1346670,227,12,1346553
"chr1",1346965,1347268,303,19,1347148
"chr1",1412609,1413016,407,22,1412861
"chr1",1413147,1413707,560,14,1413296
"chr1",1418404,1419161,757,25,1418474
"chr1",1419606,1419830,224,37,1419704
"chr1",1423850,1424069,219,19,1423978
"chr1",1425178,1426453,1275,19,1425393
"chr1",1431222,1431511,289,8.1,1431298
"chr1",1431892,1432270,378,23,1432157
"chr1",1438842,1439194,352,9.1,1438994
"chr1",1446424,1447052,628,17,1446533
"chr1",1451298,1451750,452,25,1451495
"chr1",1451848,1452658,810,19,1452434
"chr1",1462639,1462979,340,20,1462851
"chr1",1469735,1470168,433,14,1469908
"chr1",1471028,1471667,639,16,1471540
"chr1",1537461,1537752,291,8.1,1537494
"chr1",1537790,1538072,282,23,1537939
"chr1",1553290,1553765,475,12,1553417
"chr1",1553821,1554269,448,14,1553906
"chr1",1554329,1555128,799,20,1554888
"chr1",1561025,1561533,508,12,1561450
"chr1",1571917,1572263,346,8.1,1572197
"chr1",1634665,1634937,272,8.1,1634799
"chr1",1661923,1662229,306,9.1,1662048
"chr1",1832424,1832920,496,19,1832802
"chr1",1840886,1841141,255,13,1840926
"chr1",1842206,1842435,229,14,1842307
"chr1",1845314,1846069,755,17,1845468
"chr1",1846438,1846979,541,11,1846852
"chr1",1847061,1847317,256,7,1847142
"chr1",1847570,1848310,740,13,1847899
"chr1",1848344,1848585,241,11,1848439
"chr1",1849429,1849637,208,8.1,1849538
"chr1",1982257,1982457,200,10,1982366
"chr1",1982560,1982901,341,10,1982755
"chr1",1985270,1985490,220,8.1,1985354
"chr1",1991446,1991818,372,9.1,1991581
"chr1",1991868,1992987,1119,25,1992207
"chr1",1999654,1999899,245,8.1,1999769
"chr1",2001756,2002187,431,19,2002054
"chr1",2002222,2002632,410,15,2002410
"chr1",2002714,2002929,215,13,2002801
"chr1",2003567,2004247,680,15,2003979
"chr1",2004491,2004844,353,11,2004592
