chr	start	end	length	count	peak
chr1	10004	10424	420	51.0	10100
chr1	132804	133006	202	25.0	132924
chr1	565026	565251	225	29.0	565134
chr1	566066	566337	271	34.0	566210
chr1	755457	759012	3555	34.0	758421
chr1	880316	880947	631	21.0	880447
chr1	881047	881452	405	20.0	881290
chr1	881507	881712	205	10.0	881627
chr1	886250	886572	322	7.0	886353
chr1	890367	890750	383	10.0	890607
chr1	892501	892739	238	6.0	892558
chr1	892845	893158	313	13.0	892947
chr1	893623	893922	299	17.0	893687
chr1	934832	935074	242	9.1	934928
chr1	1015255	1016106	851	22.0	1015385
chr1	1016275	1016651	376	20.0	1016391
chr1	1023187	1023479	292	14.0	1023302
chr1	1024510	1024800	290	12.0	1024655
chr1	1024858	1025133	275	10.0	1025031
chr1	1027561	1027886	325	14.0	1027738
chr1	1028136	1028433	297	11.0	1028294
chr1	1029038	1029415	377	16.0	1029295
chr1	1032623	1032920	297	17.0	1032714
chr1	1033474	1033712	238	21.0	1033586
chr1	1034027	1034247	220	14.0	1034138
chr1	1036617	1036835	218	17.0	1036719
chr1	1043457	1044455	998	25.0	1043664
chr1	1047740	1048158	418	19.0	1047879
chr1	1151843	1152312	469	29.0	1152011
chr1	1153992	1154625	633	22.0	1154242
chr1	1154685	1155309	624	21.0	1155038
chr1	1162416	1162680	264	15.0	1162510
chr1	1162859	1163064	205	6.0	1162955
chr1	1163096	1163301	205	7.0	1163239
chr1	1163373	1163803	430	11.0	1163500
chr1	1163847	1164140	293	15.0	1163970
chr1	1164174	1164560	386	15.0	1164310
chr1	1164677	1165646	969	23.0	1165221
chr1	1182424	1182651	227	8.1	1182455
chr1	1192866	1193579	713	15.0	1193306
chr1	1193646	1195676	2030	51.0	1194889
chr1	1202892	1203574	682	16.0	1203191
chr1	1205414	1206613	1199	63.0	1206275
chr1	1229810	1230112	302	11.0	1229846
chr1	1236658	1237382	724	28.0	1236974
chr1	1245667	1245867	200	7.0	1245772
chr1	1248096	1248469	373	15.0	1248220
chr1	1254256	1254595	339	9.1	1254330
chr1	1262504	1262805	301	8.1	1262647
chr1	1265500	1267638	2138	29.0	1266206
chr1	1267722	1268112	390	16.0	1267974
chr1	1268144	1268764	620	13.0	1268338
chr1	1268833	1271308	2475	53.0	1269623
chr1	1271367	1273087	1720	22.0	1271660
chr1	1275264	1275706	442	11.0	1275644
chr1	1277106	1278529	1423	29.0	1277503
chr1	1278582	1279110	528	14.0	1278808
chr1	1280301	1280801	500	11.0	1280438
chr1	1281140	1281858	718	13.0	1281239
chr1	1282549	1282803	254	9.1	1282612
chr1	1306006	1307008	1002	26.0	1306106
chr1	1308499	1309144	645	14.0	1309034
chr1	1309183	1309681	498	9.1	1309415
chr1	1309753	1310170	417	8.1	1310118
chr1	1310229	1310729	500	16.0	1310456
chr1	1317649	1318142	493	29.0	1317805
chr1	1321158	1321558	400	21.0	1321287
chr1	1338259	1338486	227	13.0	1338375
chr1	1339539	1339752	213	20.0	1339649
chr1	1340454	1340777	323	17.0	1340555
chr1	1341459	1341721	262	15.0	1341598
chr1	1460507	1460739	232	10.0	1460591
chr1	1464055	1464287	232	9.1	1464184
chr1	1468021	1468461	440	11.0	1468272
chr1	1468499	1468754	255	12.0	1468602
chr1	1472775	1473010	235	12.0	1472887
chr1	1473149	1473435	286	8.1	1473247
chr1	1473652	1474855	1203	21.0	1474098
chr1	1475900	1477269	1369	30.0	1476013
chr1	1477390	1478380	990	18.0	1477531
chr1	1478434	1478660	226	6.0	1478624
chr1	1478929	1479535	606	46.0	1479038
chr1	1479628	1479970	342	11.0	1479871
chr1	1480017	1480357	340	29.0	1480208
chr1	1480396	1480806	410	21.0	1480519
chr1	1485903	1486556	653	14.0	1486443
chr1	1494062	1494304	242	36.0	1494188
chr1	1494974	1496103	1129	35.0	1495830
chr1	1496327	1497608	1281	47.0	1496591
chr1	1532910	1533119	209	10.0	1533013
chr1	1550782	1551112	330	27.0	1550905
chr1	1571133	1572805	1672	25.0	1571733
chr1	1572842	1573234	392	23.0	1573106
chr1	1573640	1573866	226	18.0	1573773
chr1	1573976	1574313	337	9.1	1574171
chr1	1574358	1574682	324	10.0	1574507
chr1	1574842	1575235	393	17.0	1575085
chr1	1575665	1575942	277	13.0	1575800
chr1	1576249	1576816	567	10.0	1576332
chr1	1580434	1580742	308	32.0	1580571
chr1	1580774	1581028	254	10.0	1580923
chr1	1581235	1581461	226	13.0	1581335
chr1	1582540	1584683	2143	59.0	1583850
chr1	1585278	1585524	246	19.0	1585404
chr1	1596719	1596964	245	12.0	1596841
chr1	1607653	1608096	443	23.0	1607795
