"chr","start","end","length","count","peak"
"chr1",762325,762801,476,14,762610
"chr1",769153,769541,388,26,769396
"chr1",769576,769781,205,21,769708
"chr1",782618,782869,251,15,782747
"chr1",793736,793980,244,25,793880
"chr1",843507,843898,391,22,843592
"chr1",847279,847927,648,29,847717
"chr1",847965,848557,592,41,848409
"chr1",848844,849048,204,11,848935
"chr1",849369,849599,230,13,849473
"chr1",850677,850924,247,22,850806
"chr1",851675,851989,314,13,851898
"chr1",863999,864210,211,11,864099
"chr1",864650,864900,250,11,864758
"chr1",866885,867254,369,14,867113
"chr1",873307,873953,646,18,873616
"chr1",874105,874398,293,11,874205
"chr1",874439,874704,265,13,874579
"chr1",875079,875419,340,19,875209
"chr1",878564,878805,241,8.3,878667
"chr1",880545,880908,363,16,880814
"chr1",895576,895823,247,8.3,895622
"chr1",901494,901900,406,13,901639
"chr1",936383,936874,491,33,936505
"chr1",936975,937202,227,13,937102
"chr1",939861,940074,213,9.5,939952
"chr1",949072,949852,780,18,949451
"chr1",957580,957927,347,17,957820
"chr1",958012,958305,293,12,958166
"chr1",961451,961798,347,22,961625
"chr1",964342,964704,362,20,964570
"chr1",967574,968405,831,21,967844
"chr1",970649,970874,225,14,970754
"chr1",970917,972054,1137,25,971654
"chr1",972312,972546,234,12,972483
"chr1",972634,973007,373,16,972747
"chr1",973082,973427,345,15,973332
"chr1",973486,973746,260,14,973626
"chr1",973789,974747,958,26,974149
"chr1",975100,976282,1182,23,975239
"chr1",978014,978304,290,13,978048
"chr1",978468,979426,958,20,979110
"chr1",979472,979848,376,19,979556
"chr1",981550,982132,582,18,981643
"chr1",984780,985403,623,13,985264
"chr1",985480,985774,294,16,985691
"chr1",985883,986117,234,8.3,985961
"chr1",991983,992247,264,13,992111
"chr1",992532,992778,246,15,992679
"chr1",993731,994021,290,13,993818
"chr1",995915,996209,294,7.4,995993
"chr1",999866,1000233,367,15,1000012
"chr1",1011290,1011625,335,13,1011364
"chr1",1012906,1013238,332,16,1012960
"chr1",1013993,1014689,696,19,1014275
"chr1",1169804,1170274,470,15,1169920
"chr1",1170310,1171120,810,26,1170802
"chr1",1171281,1171777,496,25,1171476
"chr1",1171838,1172049,211,18,1171937
"chr1",1172184,1172503,319,8.3,1172409
"chr1",1174312,1175293,981,24,1175167
"chr1",1216770,1217203,433,15,1216985
"chr1",1219819,1220047,228,18,1219907
"chr1",1220088,1220377,289,7.4,1220145
"chr1",1220987,1221505,518,18,1221269
"chr1",1221771,1222009,238,15,1221902
"chr1",1245017,1245428,411,16,1245097
"chr1",1245477,1245928,451,22,1245681
"chr1",1249724,1249966,242,13,1249876
"chr1",1249998,1251090,1092,22,1250973
"chr1",1252546,1252771,225,12,1252637
"chr1",1254769,1254977,208,13,1254845
"chr1",1255041,1256008,967,37,1255181
"chr1",1261928,1262144,216,17,1262033
"chr1",1264092,1264680,588,21,1264482
"chr1",1285041,1285388,347,19,1285306
"chr1",1286769,1287609,840,25,1287194
"chr1",1287682,1288052,370,18,1287820
"chr1",1290636,1291424,788,16,1291073
"chr1",1291508,1292003,495,22,1291703
"chr1",1293803,1294672,869,22,1294013
"chr1",1294808,1295090,282,20,1294956
"chr1",1295341,1295642,301,12,1295467
"chr1",1341852,1342085,233,15,1341956
"chr1",1342837,1343056,219,23,1342960
"chr1",1346423,1347267,844,32,1347173
"chr1",1375596,1375842,246,8.3,1375625
"chr1",1391617,1392000,383,18,1391772
"chr1",1412660,1412986,326,17,1412756
