chr	start	end	length	count	peak
chr1	534045	535963	1918	12.0	535959
chr1	564648	564851	203	85.0	564707
chr1	565025	565269	244	50.0	565143
chr1	566051	566368	317	85.0	566221
chr1	566402	566787	385	35.0	566687
chr1	567244	567479	235	75.0	567344
chr1	569271	569716	445	164.0	569370
chr1	715687	715950	263	17.0	715817
chr1	723537	727043	3506	209.0	724231
chr1	769168	769537	369	23.0	769362
chr1	773757	773980	223	14.0	773884
chr1	774554	774984	430	33.0	774894
chr1	846791	847161	370	29.0	847031
chr1	850182	850497	315	31.0	850332
chr1	850697	850907	210	12.0	850783
chr1	860952	861155	203	6.1	861031
chr1	873414	873661	247	17.0	873517
chr1	875082	875317	235	19.0	875199
chr1	877795	878139	344	33.0	877977
chr1	879268	879471	203	27.0	879342
chr1	898414	898634	220	21.0	898534
chr1	935992	936224	232	27.0	936109
chr1	936371	936623	252	14.0	936497
chr1	949187	949631	444	19.0	949507
chr1	949680	949916	236	35.0	949789
chr1	957580	957820	240	33.0	957583
chr1	959025	959430	405	35.0	959141
chr1	967715	968174	459	17.0	968030
chr1	973935	974314	379	14.0	974174
chr1	974466	974851	385	17.0	974596
chr1	975105	975536	431	21.0	975188
chr1	975727	976260	533	17.0	976181
chr1	976552	976777	225	19.0	976703
chr1	979202	979403	201	23.0	979360
chr1	980540	980903	363	19.0	980862
chr1	981752	982115	363	25.0	981882
chr1	982199	982834	635	33.0	982774
chr1	982905	983585	680	52.0	983500
chr1	984078	984439	361	21.0	984433
chr1	984470	985312	842	27.0	985148
chr1	986391	986704	313	10.0	986670
chr1	989076	989357	281	37.0	989223
chr1	990866	991067	201	23.0	990953
chr1	991162	991394	232	54.0	991278
chr1	1170313	1170657	344	23.0	1170446
chr1	1172318	1172902	584	14.0	1172761
chr1	1172950	1173546	596	25.0	1173115
chr1	1174539	1175339	800	19.0	1174854
chr1	1252500	1252770	270	29.0	1252670
chr1	1255157	1255436	279	17.0	1255295
chr1	1255539	1255777	238	12.0	1255644
chr1	1285023	1285362	339	12.0	1285120
chr1	1287413	1288016	603	56.0	1287802
chr1	1288186	1288795	609	23.0	1288252
chr1	1289415	1290542	1127	25.0	1289751
chr1	1290923	1291184	261	12.0	1291070
chr1	1294790	1295091	301	19.0	1294970
chr1	1296225	1296988	763	39.0	1296729
chr1	1335233	1335768	535	21.0	1335675
chr1	1335935	1336205	270	23.0	1336061
chr1	1336295	1337264	969	33.0	1336761
chr1	1341483	1341749	266	6.1	1341614
chr1	1343417	1343617	200	8.3	1343559
chr1	1344404	1345044	640	43.0	1344935
chr1	1346488	1346767	279	10.0	1346528
chr1	1412653	1413018	365	19.0	1412696
chr1	1413125	1413715	590	37.0	1413612
chr1	1413941	1414629	688	66.0	1414082
chr1	1418198	1419436	1238	83.0	1418520
chr1	1419585	1419852	267	68.0	1419699
chr1	1420398	1420625	227	14.0	1420526
chr1	1420974	1421218	244	8.3	1421070
chr1	1422631	1422864	233	8.3	1422679
chr1	1423847	1424067	220	39.0	1423972
chr1	1425253	1425489	236	12.0	1425417
chr1	1425843	1426181	338	17.0	1426040
chr1	1428186	1428402	216	17.0	1428250
chr1	1431685	1431896	211	19.0	1431790
chr1	1433264	1433807	543	33.0	1433368
chr1	1435717	1435936	219	17.0	1435828
chr1	1438390	1438602	212	31.0	1438511
chr1	1438922	1439182	260	21.0	1439069
chr1	1440388	1440660	272	17.0	1440523
chr1	1442204	1442460	256	60.0	1442317
chr1	1445211	1445534	323	23.0	1445358
chr1	1446788	1447027	239	14.0	1446917
chr1	1451302	1451612	310	27.0	1451464
chr1	1452326	1452756	430	17.0	1452459
chr1	1456216	1456695	479	161.0	1456578
chr1	1461427	1461688	261	21.0	1461548
chr1	1463363	1463639	276	25.0	1463446
chr1	1465648	1465911	263	17.0	1465765
chr1	1468842	1469570	728	23.0	1469430
chr1	1469666	1470063	397	33.0	1469883
chr1	1471090	1471293	203	19.0	1471173
chr1	1471368	1471590	222	17.0	1471475
chr1	1540892	1541184	292	21.0	1541026
chr1	1541389	1541624	235	8.3	1541494
chr1	1554430	1555022	592	21.0	1554874
chr1	1560185	1560455	270	10.0	1560270
chr1	1562634	1562856	222	21.0	1562731
chr1	1563871	1564231	360	8.3	1563998
chr1	1564873	1565084	211	23.0	1565067
chr1	1565589	1565889	300	12.0	1565635
chr1	1623666	1623916	250	14.0	1623797
chr1	1627021	1627237	216	12.0	1627117
chr1	1632839	1633119	280	8.3	1632952
chr1	1825050	1826104	1054	29.0	1825519
chr1	1826135	1826813	678	31.0	1826261
chr1	1840846	1841142	296	33.0	1840999
chr1	1842202	1842421	219	10.0	1842290
chr1	1991940	1992268	328	21.0	1992131
chr1	2016056	2016463	407	46.0	2016320
chr1	2017532	2017744	212	12.0	2017617
chr1	2035929	2036151	222	10.0	2036019
chr1	2045229	2045511	282	10.0	2045369
chr1	2067866	2068102	236	12.0	2067968
chr1	2071884	2072114	230	19.0	2071997
chr1	2086612	2087076	464	37.0	2086913
chr1	2091746	2092299	553	17.0	2091932
chr1	2102390	2103000	610	31.0	2102938
chr1	2104945	2105194	249	14.0	2105071
chr1	2111858	2112072	214	14.0	2111971
chr1	2112884	2113146	262	12.0	2112942
chr1	2114166	2115199	1033	12.0	2114524
chr1	2121216	2121421	205	12.0	2121326
chr1	2125314	2125685	371	14.0	2125581
chr1	2131671	2131982	311	10.0	2131907
chr1	2133059	2133484	425	37.0	2133270
chr1	2143778	2144273	495	17.0	2143956
chr1	2145050	2145326	276	19.0	2145192
chr1	2145406	2145735	329	17.0	2145586
chr1	2145850	2146207	357	19.0	2145916
chr1	2146361	2147018	657	21.0	2146874
chr1	2147157	2147644	487	14.0	2147340
chr1	2148471	2148761	290	10.0	2148696
chr1	2148920	2149135	215	31.0	2149011
chr1	2151535	2151916	381	19.0	2151767
chr1	2160180	2160395	215	8.3	2160362
chr1	2160430	2161570	1140	37.0	2161376
chr1	2162222	2162536	314	10.0	2162424
chr1	2170302	2170525	223	17.0	2170399
chr1	2170746	2171041	295	12.0	2170874
chr1	2171341	2171993	652	23.0	2171692
chr1	2175788	2176034	246	23.0	2175923
chr1	2178330	2178805	475	29.0	2178664
chr1	2184244	2184548	304	70.0	2184419
chr1	2185112	2185343	231	12.0	2185238
chr1	2185579	2185820	241	14.0	2185670
chr1	2191960	2192246	286	19.0	2192140
chr1	2195155	2195463	308	21.0	2195219
chr1	2195735	2196008	273	31.0	2195846
chr1	2196945	2197354	409	91.0	2197222
chr1	2211520	2211835	315	23.0	2211711
chr1	2212016	2212896	880	97.0	2212487
chr1	2212980	2213238	258	14.0	2213106
chr1	2213357	2213991	634	93.0	2213519
chr1	2217337	2217579	242	66.0	2217434
chr1	2217690	2217925	235	81.0	2217787
chr1	2222699	2223030	331	17.0	2222775
chr1	2235278	2235547	269	83.0	2235415
chr1	2235731	2236239	508	52.0	2236019
chr1	2237237	2237905	668	58.0	2237500
chr1	2237972	2238180	208	17.0	2238090
chr1	2238751	2239014	263	12.0	2238937
chr1	2323507	2323773	266	12.0	2323631
chr1	2323980	2324552	572	33.0	2324226
chr1	2324587	2325075	488	33.0	2324696
chr1	2325821	2326028	207	10.0	2325923
chr1	2326643	2326967	324	17.0	2326801
chr1	2327381	2327677	296	6.1	2327529
chr1	2333109	2333309	200	12.0	2333230
chr1	2333849	2334983	1134	70.0	2334835
chr1	2335819	2336078	259	21.0	2335933
chr1	2336974	2337472	498	21.0	2337195
chr1	2344582	2345028	446	12.0	2344911
chr1	2347766	2348422	656	31.0	2348026
chr1	2348474	2349328	854	23.0	2349145
