chr	start	end	length	count	peak
chr1	10004	10397	393	49.0	10097
chr1	21149	21455	306	11.0	21416
chr1	134177	134379	202	26.0	134273
chr1	418364	447119	28755	5.3	432741
chr1	565013	565267	254	43.0	565141
chr1	566066	566358	292	57.0	566217
chr1	706745	707015	270	8.3	706867
chr1	713330	713558	228	9.5	713499
chr1	755621	756192	571	16.0	755982
chr1	756227	759026	2799	49.0	758295
chr1	852620	852841	221	25.0	852755
chr1	854653	855290	637	14.0	854771
chr1	856224	856441	217	18.0	856331
chr1	878074	878318	244	14.0	878198
chr1	879025	879328	303	17.0	879227
chr1	879380	879663	283	23.0	879511
chr1	879695	881846	2151	44.0	880458
chr1	883767	884110	343	23.0	883851
chr1	886256	886963	707	29.0	886862
chr1	887665	887987	322	13.0	887769
chr1	888182	888566	384	11.0	888274
chr1	889663	890104	441	17.0	889794
chr1	890376	890801	425	28.0	890544
chr1	892236	892613	377	17.0	892377
chr1	892828	893387	559	37.0	892952
chr1	893444	894019	575	14.0	893657
chr1	934825	935340	515	21.0	935251
chr1	1003531	1003790	259	11.0	1003572
chr1	1005717	1005987	270	12.0	1005895
chr1	1006126	1006337	211	8.3	1006230
chr1	1006474	1006683	209	18.0	1006559
chr1	1015145	1016130	985	37.0	1015363
chr1	1016306	1016801	495	34.0	1016413
chr1	1023251	1023501	250	9.5	1023324
chr1	1023780	1024068	288	16.0	1023940
chr1	1024248	1024849	601	28.0	1024702
chr1	1024887	1025529	642	16.0	1025249
chr1	1027490	1028576	1086	21.0	1027789
chr1	1028828	1029686	858	19.0	1029133
chr1	1031662	1031937	275	9.5	1031792
chr1	1032576	1032927	351	27.0	1032688
chr1	1033460	1033715	255	23.0	1033598
chr1	1034038	1034250	212	22.0	1034164
chr1	1036611	1036836	225	24.0	1036712
chr1	1039375	1039607	232	24.0	1039499
chr1	1043454	1044491	1037	37.0	1043649
chr1	1047751	1048404	653	33.0	1048020
chr1	1151446	1151666	220	13.0	1151572
chr1	1151732	1152297	565	39.0	1152007
chr1	1152807	1153370	563	9.5	1152964
chr1	1153771	1155304	1533	58.0	1154249
chr1	1157658	1158319	661	16.0	1157802
chr1	1158385	1158680	295	11.0	1158627
chr1	1159016	1159495	479	15.0	1159301
chr1	1159818	1160045	227	8.3	1159906
chr1	1162415	1162696	281	23.0	1162586
chr1	1162854	1165693	2839	43.0	1165034
chr1	1177722	1177958	236	8.3	1177771
chr1	1179344	1179629	285	13.0	1179484
chr1	1182542	1183188	646	13.0	1182664
chr1	1186174	1186450	276	15.0	1186266
chr1	1188084	1188524	440	19.0	1188183
chr1	1192939	1193601	662	37.0	1193095
chr1	1193648	1195707	2059	75.0	1194894
chr1	1195801	1196182	381	18.0	1195900
chr1	1202908	1203683	775	46.0	1203194
chr1	1203775	1203998	223	9.5	1203889
chr1	1204701	1205001	300	9.5	1204937
chr1	1205055	1205260	205	14.0	1205138
chr1	1205421	1206604	1183	86.0	1205877
chr1	1229813	1230164	351	16.0	1229934
chr1	1230513	1230877	364	11.0	1230768
chr1	1231403	1231620	217	6.3	1231522
chr1	1231783	1231991	208	7.4	1231933
chr1	1233498	1233837	339	14.0	1233721
chr1	1235611	1236521	910	23.0	1235723
chr1	1236557	1236797	240	8.3	1236702
chr1	1236866	1237895	1029	32.0	1237269
chr1	1238389	1239135	746	17.0	1238934
chr1	1239173	1239685	512	15.0	1239490
chr1	1239815	1240217	402	9.5	1239872
chr1	1240281	1240492	211	9.5	1240347
chr1	1244996	1245268	272	11.0	1245092
chr1	1245493	1245874	381	9.5	1245771
chr1	1247910	1248671	761	26.0	1248217
chr1	1253257	1253493	236	23.0	1253371
chr1	1254245	1254805	560	25.0	1254352
chr1	1256597	1256817	220	14.0	1256717
chr1	1265755	1267773	2018	44.0	1266442
