"chr","start","end","length","count","peak"
"chr1",10004,10397,393,49,10097
"chr1",21149,21455,306,11,21416
"chr1",134177,134379,202,26,134273
"chr1",706745,707015,270,8.3,706867
"chr1",713330,713558,228,9.5,713499
"chr1",755621,756192,571,16,755982
"chr1",852620,852841,221,25,852755
"chr1",854653,855290,637,14,854771
"chr1",856224,856441,217,18,856331
"chr1",878074,878318,244,14,878198
"chr1",879025,879328,303,17,879227
"chr1",879380,879663,283,23,879511
"chr1",883767,884110,343,23,883851
"chr1",886256,886963,707,29,886862
"chr1",887665,887987,322,13,887769
"chr1",888182,888566,384,11,888274
"chr1",889663,890104,441,17,889794
"chr1",890376,890801,425,28,890544
"chr1",892236,892613,377,17,892377
"chr1",892828,893387,559,37,892952
"chr1",893444,894019,575,14,893657
"chr1",934825,935340,515,21,935251
"chr1",1003531,1003790,259,11,1003572
"chr1",1005717,1005987,270,12,1005895
"chr1",1006126,1006337,211,8.3,1006230
"chr1",1006474,1006683,209,18,1006559
"chr1",1015145,1016130,985,37,1015363
"chr1",1016306,1016801,495,34,1016413
"chr1",1023251,1023501,250,9.5,1023324
"chr1",1023780,1024068,288,16,1023940
"chr1",1024248,1024849,601,28,1024702
"chr1",1024887,1025529,642,16,1025249
"chr1",1027490,1028576,1086,21,1027789
"chr1",1028828,1029686,858,19,1029133
"chr1",1031662,1031937,275,9.5,1031792
"chr1",1032576,1032927,351,27,1032688
"chr1",1033460,1033715,255,23,1033598
"chr1",1034038,1034250,212,22,1034164
"chr1",1036611,1036836,225,24,1036712
"chr1",1039375,1039607,232,24,1039499
"chr1",1043454,1044491,1037,37,1043649
"chr1",1047751,1048404,653,33,1048020
"chr1",1151446,1151666,220,13,1151572
"chr1",1151732,1152297,565,39,1152007
"chr1",1152807,1153370,563,9.5,1152964
"chr1",1157658,1158319,661,16,1157802
"chr1",1158385,1158680,295,11,1158627
"chr1",1159016,1159495,479,15,1159301
"chr1",1159818,1160045,227,8.3,1159906
"chr1",1162415,1162696,281,23,1162586
"chr1",1177722,1177958,236,8.3,1177771
"chr1",1179344,1179629,285,13,1179484
"chr1",1182542,1183188,646,13,1182664
"chr1",1186174,1186450,276,15,1186266
"chr1",1188084,1188524,440,19,1188183
"chr1",1192939,1193601,662,37,1193095
"chr1",1195801,1196182,381,18,1195900
"chr1",1202908,1203683,775,46,1203194
"chr1",1203775,1203998,223,9.5,1203889
"chr1",1204701,1205001,300,9.5,1204937
"chr1",1205055,1205260,205,14,1205138
"chr1",1229813,1230164,351,16,1229934
"chr1",1230513,1230877,364,11,1230768
"chr1",1231403,1231620,217,6.3,1231522
"chr1",1231783,1231991,208,7.4,1231933
"chr1",1233498,1233837,339,14,1233721
"chr1",1235611,1236521,910,23,1235723
"chr1",1236557,1236797,240,8.3,1236702
"chr1",1236866,1237895,1029,32,1237269
"chr1",1238389,1239135,746,17,1238934
"chr1",1239173,1239685,512,15,1239490
"chr1",1239815,1240217,402,9.5,1239872
"chr1",1240281,1240492,211,9.5,1240347
"chr1",1244996,1245268,272,11,1245092
"chr1",1245493,1245874,381,9.5,1245771
"chr1",1247910,1248671,761,26,1248217
"chr1",1253257,1253493,236,23,1253371
"chr1",1254245,1254805,560,25,1254352
"chr1",1256597,1256817,220,14,1256717
"chr1",1267913,1268119,206,20,1268045
"chr1",1268200,1268874,674,17,1268333
"chr1",1274402,1274630,228,12,1274509
"chr1",1280227,1280625,398,27,1280359
"chr1",1283468,1283685,217,11,1283570
"chr1",1284160,1284400,240,8.3,1284192
"chr1",1287779,1288013,234,8.3,1287909
"chr1",1307561,1307801,240,15,1307664
"chr1",1310042,1310749,707,24,1310440
"chr1",1313355,1313572,217,11,1313465
"chr1",1320518,1320733,215,12,1320619
"chr1",1321209,1321681,472,16,1321317
"chr1",1322501,1322780,279,16,1322644
"chr1",1331979,1332323,344,28,1332089
"chr1",1338262,1338492,230,15,1338380
"chr1",1338617,1338881,264,22,1338736
"chr1",1339540,1339833,293,23,1339634
"chr1",1339889,1340145,256,15,1340004
"chr1",1340473,1340736,263,22,1340609
"chr1",1341460,1341721,261,21,1341600
"chr1",1444406,1444646,240,9.5,1444516
"chr1",1462361,1462853,492,12,1462698
"chr1",1462982,1463191,209,16,1463072
"chr1",1463992,1464355,363,13,1464209
"chr1",1468370,1469571,1201,14,1468791
"chr1",1471600,1471878,278,12,1471736
"chr1",1472402,1472827,425,24,1472615
"chr1",1473184,1473511,327,18,1473246
"chr1",1473662,1474497,835,27,1474028
"chr1",1474570,1474880,310,16,1474726
"chr1",1478574,1479580,1006,37,1479061
"chr1",1479654,1479990,336,15,1479740
"chr1",1480041,1480819,778,41,1480231
"chr1",1485915,1486644,729,20,1485999
"chr1",1494995,1495489,494,38,1495345
"chr1",1495610,1496134,524,34,1495817
"chr1",1496921,1497479,558,44,1497029
"chr1",1498639,1498887,248,29,1498762
"chr1",1532959,1533173,214,18,1533040
"chr1",1550807,1551114,307,23,1550983
