chr	start	end	length	count	peak
chr1	21144	21542	398	27.0	21258
chr1	565015	565279	264	52.0	565142
chr1	566056	566358	302	58.0	566246
chr1	566396	566790	394	35.0	566468
chr1	705678	705939	261	68.0	705794
chr1	713307	713584	277	12.0	713501
chr1	755972	756697	725	12.0	756117
chr1	756811	757744	933	14.0	756954
chr1	757953	758958	1005	27.0	758635
chr1	839959	841326	1367	10.0	841316
chr1	879954	880288	334	39.0	880178
chr1	880346	880705	359	81.0	880487
chr1	880827	881033	206	62.0	880899
chr1	883814	884110	296	21.0	883875
chr1	886367	886618	251	10.0	886612
chr1	886687	886899	212	17.0	886741
chr1	890396	890783	387	25.0	890648
chr1	892254	892658	404	48.0	892350
chr1	893432	893914	482	33.0	893663
chr1	1015260	1015715	455	17.0	1015511
chr1	1015842	1016105	263	14.0	1016043
chr1	1016264	1016635	371	27.0	1016349
chr1	1024510	1024832	322	19.0	1024617
chr1	1027519	1027835	316	10.0	1027664
chr1	1028201	1028405	204	17.0	1028270
chr1	1029792	1030076	284	39.0	1029907
chr1	1032616	1032933	317	27.0	1032684
chr1	1032973	1033188	215	21.0	1033057
chr1	1033437	1033746	309	99.0	1033615
chr1	1034030	1034261	231	37.0	1034173
chr1	1036591	1036838	247	39.0	1036693
chr1	1037242	1037442	200	12.0	1037322
chr1	1039102	1039341	239	10.0	1039187
chr1	1039373	1039637	264	31.0	1039510
chr1	1043456	1044427	971	31.0	1043905
chr1	1048005	1048496	491	19.0	1048190
chr1	1049274	1049524	250	23.0	1049399
chr1	1151843	1152277	434	19.0	1151973
chr1	1152758	1153068	310	14.0	1152999
chr1	1153800	1154367	567	87.0	1154157
chr1	1154648	1154926	278	21.0	1154803
chr1	1158421	1158685	264	25.0	1158531
chr1	1159538	1159953	415	21.0	1159763
chr1	1163564	1164326	762	66.0	1164291
chr1	1164694	1165097	403	17.0	1164840
chr1	1186777	1187023	246	48.0	1186919
chr1	1193198	1193581	383	21.0	1193450
chr1	1193708	1194108	400	25.0	1193965
chr1	1194210	1195352	1142	41.0	1194885
chr1	1200954	1201309	355	54.0	1201044
chr1	1202972	1203372	400	14.0	1203104
