chr	start	end	length	count	peak
chr1	530035	535961	5926	7.4	535958
chr1	565032	565269	237	39.0	565164
chr1	566060	566365	305	56.0	566223
chr1	566400	566784	384	23.0	566487
chr1	567251	567479	228	47.0	567374
chr1	569269	569487	218	75.0	569349
chr1	723749	727037	3288	117.0	724232
chr1	762325	762801	476	14.0	762610
chr1	769153	769541	388	26.0	769396
chr1	769576	769781	205	21.0	769708
chr1	782618	782869	251	15.0	782747
chr1	793736	793980	244	25.0	793880
chr1	843507	843898	391	22.0	843592
chr1	846277	847182	905	57.0	847038
chr1	847279	847927	648	29.0	847717
chr1	847965	848557	592	41.0	848409
chr1	848844	849048	204	11.0	848935
chr1	849369	849599	230	13.0	849473
chr1	849666	850534	868	45.0	850405
chr1	850677	850924	247	22.0	850806
chr1	851675	851989	314	13.0	851898
chr1	863999	864210	211	11.0	864099
chr1	864650	864900	250	11.0	864758
chr1	866885	867254	369	14.0	867113
chr1	873307	873953	646	18.0	873616
chr1	874105	874398	293	11.0	874205
chr1	874439	874704	265	13.0	874579
chr1	875079	875419	340	19.0	875209
chr1	878564	878805	241	8.3	878667
chr1	880545	880908	363	16.0	880814
chr1	895576	895823	247	8.3	895622
chr1	901494	901900	406	13.0	901639
chr1	935715	936350	635	47.0	936135
chr1	936383	936874	491	33.0	936505
chr1	936975	937202	227	13.0	937102
chr1	939861	940074	213	9.5	939952
chr1	949072	949852	780	18.0	949451
chr1	957580	957927	347	17.0	957820
chr1	958012	958305	293	12.0	958166
chr1	958876	959586	710	53.0	959178
chr1	961451	961798	347	22.0	961625
chr1	964342	964704	362	20.0	964570
chr1	967574	968405	831	21.0	967844
chr1	970649	970874	225	14.0	970754
chr1	970917	972054	1137	25.0	971654
chr1	972312	972546	234	12.0	972483
chr1	972634	973007	373	16.0	972747
chr1	973082	973427	345	15.0	973332
chr1	973486	973746	260	14.0	973626
chr1	973789	974747	958	26.0	974149
chr1	975100	976282	1182	23.0	975239
chr1	978014	978304	290	13.0	978048
chr1	978468	979426	958	20.0	979110
chr1	979472	979848	376	19.0	979556
