"chr","start","end","length","count","peak"
"chr1",21144,21542,398,27,21258
"chr1",705678,705939,261,68,705794
"chr1",713307,713584,277,12,713501
"chr1",879954,880288,334,39,880178
"chr1",880827,881033,206,62,880899
"chr1",883814,884110,296,21,883875
"chr1",886367,886618,251,10,886612
"chr1",886687,886899,212,17,886741
"chr1",890396,890783,387,25,890648
"chr1",892254,892658,404,48,892350
"chr1",893432,893914,482,33,893663
"chr1",1015260,1015715,455,17,1015511
"chr1",1015842,1016105,263,14,1016043
"chr1",1016264,1016635,371,27,1016349
"chr1",1024510,1024832,322,19,1024617
"chr1",1027519,1027835,316,10,1027664
"chr1",1028201,1028405,204,17,1028270
"chr1",1029792,1030076,284,39,1029907
"chr1",1032616,1032933,317,27,1032684
"chr1",1032973,1033188,215,21,1033057
"chr1",1034030,1034261,231,37,1034173
"chr1",1036591,1036838,247,39,1036693
"chr1",1037242,1037442,200,12,1037322
"chr1",1039102,1039341,239,10,1039187
"chr1",1039373,1039637,264,31,1039510
"chr1",1048005,1048496,491,19,1048190
"chr1",1049274,1049524,250,23,1049399
"chr1",1151843,1152277,434,19,1151973
"chr1",1152758,1153068,310,14,1152999
"chr1",1154648,1154926,278,21,1154803
"chr1",1158421,1158685,264,25,1158531
"chr1",1159538,1159953,415,21,1159763
"chr1",1164694,1165097,403,17,1164840
"chr1",1186777,1187023,246,48,1186919
"chr1",1193198,1193581,383,21,1193450
"chr1",1193708,1194108,400,25,1193965
"chr1",1200954,1201309,355,54,1201044
"chr1",1202972,1203372,400,14,1203104
"chr1",1204841,1205139,298,37,1204936
"chr1",1229024,1229313,289,14,1229258
"chr1",1229781,1230196,415,35,1229968
"chr1",1230728,1230934,206,19,1230855
"chr1",1233218,1233428,210,14,1233281
"chr1",1236881,1237094,213,21,1236995
"chr1",1237131,1237426,295,29,1237415
"chr1",1240263,1240468,205,14,1240391
"chr1",1247971,1248358,387,39,1248221
"chr1",1248749,1249195,446,12,1248907
"chr1",1251706,1251928,222,14,1251796
"chr1",1252075,1252297,222,72,1252217
"chr1",1253749,1254010,261,27,1253863
"chr1",1254473,1254810,337,41,1254692
"chr1",1265066,1265479,413,12,1265215
"chr1",1265725,1266268,543,21,1265963
"chr1",1266317,1266536,219,23,1266424
"chr1",1266626,1266930,304,19,1266671
"chr1",1267298,1267571,273,12,1267364
"chr1",1270071,1270379,308,12,1270309
"chr1",1270492,1271066,574,29,1270931
"chr1",1271444,1271897,453,19,1271734
"chr1",1271973,1272174,201,14,1272033
"chr1",1274796,1275199,403,17,1275148
"chr1",1275334,1275696,362,19,1275515
"chr1",1276816,1277339,523,25,1277179
"chr1",1277421,1277738,317,29,1277439
"chr1",1279246,1279458,212,10,1279319
"chr1",1281307,1281509,202,14,1281426
"chr1",1313643,1313895,252,29,1313766
"chr1",1319573,1319894,321,12,1319665
"chr1",1320504,1320817,313,31,1320618
"chr1",1331679,1332284,605,62,1332094
"chr1",1338233,1338500,267,27,1338381
"chr1",1338617,1338919,302,37,1338722
"chr1",1339161,1339494,333,37,1339388
"chr1",1339537,1339834,297,43,1339629
"chr1",1339884,1340213,329,70,1340028
"chr1",1340351,1340763,412,48,1340553
"chr1",1341403,1341738,335,43,1341513
"chr1",1342292,1342541,249,12,1342463
"chr1",1463373,1463648,275,14,1463487
